"Артикул";"Ozon Product ID";"SKU";"Штрихкод (Серийный номер / EAN)";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"356580Y22N 100 50";"5541979413";"5113602412";"2085303202137";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 200/200 54";"5541979414";"5113601651";"2085303203080";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"320580Y20N 17 52";"5541979415";"5113602062";"2085303202939";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 200/200 46";"5541979416";"5113602144";"2085303203042";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"320580Y20N 200/200 48";"5541979417";"5113600849";"2085303203059";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"312580Y22N 265 44";"5541979418";"5113601278";"2085303203912";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265 50";"5541979419";"5113600780";"2085303202458";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"356580Y22N 260 58";"5541979421";"5113601846";"2085303202335";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 25 48";"5541979423";"5113601790";"2085303202526";"Пальто женское зимнее на синтепоне NortFolk";"'19.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"320580Y20N 17 54";"5541979424";"5113600329";"2085303202946";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 25N 56";"5541979428";"5113604140";"2085303204186";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"427340Y15N 100 42";"5541979429";"5113600711";"2085303091656";"Пальто женское NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"845790N20N 79 46";"5541979430";"5113601799";"2085303093179";"Пальто женское на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265 58";"5541979431";"5113601256";"2085303202496";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"906581N16N 77-2 48";"5541979432";"5113601659";"2085303188554";"Пальто мужское демисезонное на тонком синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 67 50";"5541979433";"5113603711";"2085303202601";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 17 44";"5541979434";"5113602325";"2085303202892";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"356580Y22N 260 44";"5541979437";"5113601108";"2085303202267";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 25 44";"5541979439";"5113604492";"2085303202502";"Пальто женское зимнее на синтепоне NortFolk";"'19.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;
"320580Y20N 17 48";"5541979440";"5113602069";"2085303202915";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 100 48";"5541979441";"5113601947";"2085303204001";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265 44";"5541979442";"5113601783";"2085303202427";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"906581N16N 104 54";"5541979443";"5113600769";"2085303188936";"Пальто мужское демисезонное на тонком синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 100 46";"5541979444";"5113604394";"2085303203998";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"906581N16N 75 54";"5541979445";"5113600770";"2085303188868";"Пальто мужское демисезонное на тонком синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265 56";"5541979446";"5113601450";"2085303202489";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"906581N16N 75 52";"5541979448";"5113600772";"2085303188851";"Пальто мужское демисезонное на тонком синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"845790N20N 79 58";"5541979452";"5113601820";"2085303093230";"Пальто женское на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"906581N16N 99 48";"5541979453";"5113601143";"2085303188622";"Пальто мужское демисезонное на тонком синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 200 52";"5541979455";"5113600417";"2085303202854";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"356580Y22N 67 48";"5541979456";"5113604478";"2085303202205";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"356580Y22N 100 44";"5541979458";"5113601128";"2085303202106";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265/265 54";"5541979460";"5113601078";"2085303203011";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"320580Y20N 265/265 50";"5541979468";"5113601754";"2085303202991";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"320580Y20N 200 58";"5541979469";"5113600973";"2085303202885";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 67 56";"5541979470";"5113601644";"2085303204117";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265 54";"5541979472";"5113601628";"2085303202472";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 106 52";"5541979473";"5113600559";"2085303202779";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 265/265 58";"5541979474";"5113601513";"2085303203035";"Пальто женское зимнее на синтепоне NortFolk";"'28.5";"NortFolk";"Продается";;"0";"'0.00";;"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"3";"0";"0";"0";"0";"30160,00";"49999,00";;"5%";;
"312580Y22N 100 58";"5541979477";"5113601918";"2085303204056";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 17 56";"5541979478";"5113600903";"2085303202953";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 25N 52";"5541979479";"5113601876";"2085303204162";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"312580Y22N 25N 58";"5541979480";"5113604714";"2085303204193";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'31.20";"'6.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 67 48";"5541979482";"5113604096";"2085303202595";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
"320580Y20N 67 46";"5541979483";"5113601571";"2085303202588";"Пальто женское зимнее на синтепоне NortFolk";"'15";"NortFolk";"Не продается";;"0";"'0.00";"Нет фото в карточке товара";"2026-07-17 13:51:32";"Одежда";"Пальто";"'26.00";"'5.2";"0";"0";"0";"0";"0";"49999,00";"49999,00";;"5%";;"Изображение: Нет фотографии товара. Вы можете поставлять товары без фото на склад, но покупатели не увидят товар на сайте. Для загрузки карточки на сайт добавьте фото товара по нашим правилам"
