"Артикул";"Ozon Product ID";"SKU";"Штрихкод (Серийный номер / EAN)";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"голубой 54 54";"999100155";"1528346277";"2095202895514";"Жилет City Classic голубой 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 50 50";"999100160";"1528346169";"2095202895736";"Жилет City Classic светло-зеленый 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 46 46";"999100173";"1528346790";"2095202895712";"Жилет City Classic светло-зеленый 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:47";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 60 60";"999100182";"1528346285";"2095202895934";"Жилет City Classic темно-синий 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"светло-зеленый 52 52";"999100183";"1528347564";"2095202895743";"Жилет City Classic светло-зеленый 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 48 48";"999100188";"1528346805";"2095202895729";"Жилет City Classic светло-зеленый 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 52 52";"999100191";"1528345654";"2095202895422";"Жилет City Classic темно-синий 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 50 50";"999100195";"1528345663";"2095202895491";"Жилет City Classic голубой 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 58 58";"999100198";"1528345990";"2095202895538";"Жилет City Classic голубой 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 60 60";"999100199";"1528345397";"2095202895873";"Жилет City Classic светло-бежевый 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"031820N11CJ 99 56";"999100200";"1528348249";"04610279152179";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"7";"'5.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'17.48";"'3.5";"4";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"темно-синий 48 48";"999100202";"1528345408";"2095202895408";"Жилет City Classic темно-синий 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 50 50";"999100205";"1528345053";"2095202895651";"Жилет City Classic бирюзовый 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 44 44";"999100211";"1528345335";"2095202895705";"Жилет City Classic светло-зеленый 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 58 58";"999100212";"1528345520";"2095202895378";"Жилет City Classic светло-бежевый 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 48 48";"999100214";"1528346010";"2095202895323";"Жилет City Classic светло-бежевый 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 54 54";"999100216";"1528345931";"2095202895439";"Жилет City Classic темно-синий 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 46 46";"999100218";"1528346826";"2095202895477";"Жилет City Classic голубой 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 56 56";"999100222";"1528346139";"2095202895682";"Жилет City Classic бирюзовый 56 56";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 48 48";"999100223";"1528346017";"2095202895484";"Жилет City Classic голубой 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 46 46";"999100224";"1528347109";"2095202895316";"Жилет City Classic светло-бежевый 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 56 56";"999100226";"1528347701";"2095202895842";"Жилет City Classic светло-розовый 56 56";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 62 62";"999100228";"1528346201";"2095202971119";"Жилет City Classic светло-зеленый 62 62";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"светло-розовый 44 44";"999100229";"1528345817";"2095202895781";"Жилет City Classic светло-розовый 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 48 48";"999100240";"1528346595";"2095202895804";"Жилет City Classic светло-розовый 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 58 58";"999100251";"1528347144";"2095202895699";"Жилет City Classic бирюзовый 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:48";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 56 56";"999100256";"1528346148";"2095202895767";"Жилет City Classic светло-зеленый 56 56";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 64 64";"999100259";"1528346047";"2095202971126";"Жилет City Classic светло-зеленый 64 64";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"бирюзовый 54 54";"999100261";"1528346089";"2095202895675";"Жилет City Classic бирюзовый 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-зеленый 58 58";"999100263";"1528347160";"2095202895774";"Жилет City Classic светло-зеленый 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 62 62";"999100266";"1528345152";"2095202895941";"Жилет City Classic темно-синий 62 62";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"голубой 56 56";"999100271";"1528347180";"2095202895521";"Жилет City Classic голубой 56 56";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 44 44";"999100272";"1528345568";"2095202895460";"Жилет City Classic голубой 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 50 50";"999100276";"1528345163";"2095202895330";"Жилет City Classic светло-бежевый 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 64 64";"999100284";"1528345557";"2095202971089";"Жилет City Classic бирюзовый 64 64";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"бирюзовый 62 62";"999100289";"1528346615";"2095202971072";"Жилет City Classic бирюзовый 62 62";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"бирюзовый 44 44";"999100292";"1528346860";"2095202895620";"Жилет City Classic бирюзовый 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 60 60";"999100296";"1528349044";"2095202971065";"Жилет City Classic бирюзовый 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"светло-зеленый 54 54";"999100305";"1528346099";"2095202895750";"Жилет City Classic светло-зеленый 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 64 64";"999100308";"1528345518";"2095202895958";"Жилет City Classic темно-синий 64 64";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"бирюзовый 48 48";"999100309";"1528345945";"2095202895644";"Жилет City Classic бирюзовый 48 48";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 58 58";"999100311";"1528347254";"2095202895453";"Жилет City Classic темно-синий 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:49";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 54 54";"999100312";"1528347266";"2095202895835";"Жилет City Classic светло-розовый 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 46 46";"999100314";"1528345678";"2095202895798";"Жилет City Classic светло-розовый 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'5.40";"'1.1";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 46 46";"999100316";"1528347138";"2095202895637";"Жилет City Classic бирюзовый 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"бирюзовый 52 52";"999100317";"1528346630";"2095202895668";"Жилет City Classic бирюзовый 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 50 50";"999100321";"1528346454";"2095202895811";"Жилет City Classic светло-розовый 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-розовый 58 58";"999100322";"1528346873";"2095202895859";"Жилет City Classic светло-розовый 58 58";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"красный 44 44";"999100325";"1528345920";"2095202895545";"Жилет City Classic красный 44 44";"'54.5";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'5.85";"'1.2";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"темно-синий 44 44";"999100341";"1528345904";"2095202895385";"Жилет City Classic темно-синий 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"темно-синий 46 46";"999100415";"1528348366";"2095202895392";"Жилет City Classic темно-синий 46 46";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 54 54";"999100417";"1528346646";"2095202895354";"Жилет City Classic светло-бежевый 54 54";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 44 44";"999100419";"1528348405";"2095202895309";"Жилет City Classic светло-бежевый 44 44";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 62 62";"999100422";"1528346287";"2095202895880";"Жилет City Classic светло-бежевый 62 62";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"светло-розовый 52 52";"999100425";"1528346437";"2095202895828";"Жилет City Classic светло-розовый 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 64 64";"999100428";"1528344916";"2095202895897";"Жилет City Classic светло-бежевый 64 64";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"10800,00";"0,00";;"5%";;
"темно-синий 50 50";"999100439";"1528345708";"2095202895415";"Жилет City Classic темно-синий 50 50";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:50";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"светло-бежевый 56 56";"999100445";"1528346485";"2095202895361";"Жилет City Classic светло-бежевый 56 56";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:51";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"голубой 52 52";"999100452";"1528345733";"2095202895507";"Жилет City Classic голубой 52 52";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:51";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"9750,00";"0,00";;"5%";;
"031820N11CJ FS 52";"999100456";"1528347361";"04660426040781";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"6";"'5.00";;"2024-04-05 07:57:51";"Одежда";"Жилет";"'20.40";"'4.1";"9";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"светло-зеленый 60 60";"999100458";"1528345620";"2095202971102";"Жилет City Classic светло-зеленый 60 60";"'47";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 07:57:51";"Одежда";"Жилет";"'7.80";"'1.6";"0";"0";"0";"0";"0";"21500,00";"0,00";;"5%";;
"031820N11CJ 99 54";"999396829";"1528621656";"04610279152162";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"8";"'5.00";;"2024-04-05 09:11:41";"Одежда";"Жилет";"'17.48";"'3.5";"2";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"031820N11CJ 99 48";"999427281";"1528634794";"04610279152131";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"9";"'5.00";;"2024-04-05 09:18:46";"Одежда";"Жилет";"'17.48";"'3.5";"7";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"031820N11CJ 99 50";"999451287";"1528671849";"04610279152148";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"7";"'5.00";;"2024-04-05 09:24:25";"Одежда";"Жилет";"'17.48";"'3.5";"4";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"031820N11CJ 99 52";"999767136";"1528945076";"04610279152155";"Жилетка утепленная стеганая City Classic";"'82";"City Classic";"Продается";;"10";"'5.00";;"2024-04-05 11:35:38";"Одежда";"Жилет";"'17.48";"'3.5";"3";"0";"0";"0";"0";"11920,00";"19550,00";;"5%";;
"011820N10C-1 FS 48";"999872247";"1529115442";"04610279149254";"Куртка City Classic кремовый 48";"'54.5";"City Classic";"Готов к продаже";;"2";"'5.00";;"2024-04-05 12:27:40";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"011820N10C-1 FS 52";"999872261";"1529113368";"04610279149278";"Куртка City Classic кремовый 52";"'54.5";"City Classic";"Готов к продаже";;"6";"'5.00";;"2024-04-05 12:27:41";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"011820N10C-1 FS 50";"999872437";"1529099608";"04610279149261";"Куртка City Classic кремовый 50";"'54.5";"City Classic";"Готов к продаже";;"3";"'5.00";;"2024-04-05 12:27:43";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"011820N10C-1 FS 54";"999872451";"1529098012";"04610279149285";"Куртка City Classic кремовый 54";"'54.5";"City Classic";"Готов к продаже";;"4";"'5.00";;"2024-04-05 12:27:43";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"011820N10C-1 FS 56";"999872466";"1529090513";"04610279149292";"Куртка City Classic кремовый 56";"'54.5";"City Classic";"Готов к продаже";;"3";"'5.00";;"2024-04-05 12:27:43";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"011820N10C-1 FS 44";"999872787";"1529070859";;"Куртка City Classic кремовый 44";"'54.5";"City Classic";"Готов к продаже";;"0";"'0.00";;"2024-04-05 12:27:44";"Одежда";"Куртка";"'9.80";"'2.0";"0";"0";"0";"0";"0";"12700,00";"19800,00";;"5%";;
"701821N01N 73 54";"1000000752";"1542936455";"04610279105601";"Куртка NortFolk хаки 54";"'54.5";"NortFolk";"Готов к продаже";;"0";"'4.70";;"2024-04-05 13:30:16";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 52";"1000000753";"1542937880";"04610279105809";"Куртка NortFolk бежевый 52";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:16";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 106 54";"1000000771";"1542942098";"04610279105670";"Куртка NortFolk коричневый 54";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:17";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 56";"1000000786";"1542954312";"04610279105823";"Куртка NortFolk бежевый 56";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:17";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 50";"1000000789";"1542946867";"04610279105588";"Куртка NortFolk хаки 50";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:17";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 54";"1000000811";"1529379895";"04610279105816";"Куртка NortFolk бежевый 54";"'54.5";"NortFolk";"Готов к продаже";;"2";"'4.70";;"2024-04-05 13:30:18";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 52";"1000000826";"1542958421";"04610279105595";"Куртка NortFolk хаки 52";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:19";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 106 46";"1000000864";"1542955344";"04610279105632";"Куртка демисезонная Nortfolk";"'30";"NortFolk";"Готов к продаже";;"0";"'4.70";;"2024-04-05 13:30:19";"Одежда";"Куртка";"'13.00";"'2.6";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 106 50";"1000000896";"1542952140";"04610279105656";"Куртка NortFolk коричневый 50";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:19";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 50";"1000000917";"1542950622";"04610279105793";"Куртка NortFolk бежевый 50";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:19";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 56";"1000000930";"1542949613";"04610279105618";"Куртка NortFolk хаки 56";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:19";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 48";"1000000962";"1542934846";"04610279105786";"Куртка NortFolk бежевый 48";"'54.5";"NortFolk";"Готов к продаже";;"2";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 46";"1000000984";"1542933262";"04610279105779";"Куртка NortFolk бежевый 46";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 20 58";"1000000994";"1542930456";"04610279105830";"Куртка NortFolk бежевый 58";"'54.5";"NortFolk";"Готов к продаже";;"2";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 106 52";"1000000995";"1542931401";"04610279105663";"Куртка NortFolk коричневый 52";"'54.5";"NortFolk";"Готов к продаже";;"2";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 46";"1000001006";"1542924892";"04610279105564";"Куртка NortFolk хаки 46";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 48";"1000001035";"1542922311";"04610279105571";"Куртка NortFolk хаки 48";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:20";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 106 48";"1000001069";"1542922231";"04610279105649";"Куртка NortFolk коричневый 48";"'54.5";"NortFolk";"Готов к продаже";;"1";"'4.70";;"2024-04-05 13:30:21";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
"701821N01N 73 58";"1000001158";"1533485864";"04610279105625";"Куртка NortFolk хаки 58";"'54.5";"NortFolk";"Готов к продаже";;"2";"'4.70";;"2024-04-05 13:30:23";"Одежда";"Куртка";"'8.40";"'1.7";"0";"0";"0";"0";"0";"9990,00";"19900,00";;"5%";;
